case,label,http,sec,bytes,total_matched,returned,pool_exhausted,top_score,lowest_score,domain,relaxed,loops,no_op,overshoot,applied_keys,sex_filter,employment_status_filter,debt_status_filter,aesthetic_procedure_filter,dims_counted,weight_version,score_scale
01_kangshimei,1. 康是美（藥妝零售）,200,292.918728,3587,105,3,False,3.318,3.2288,藥妝零售/美妝生活通路,,0,0,0,age|clothing_spend|family_income|income|sex,女,NONE,NONE,NONE,age|sex|income|clothing_spend|family_income|occupation|family_size,v5.7,relative-within-version
02_tesla,2. TESLA,200,241.035049,4760,60,3,False,7.3971,7.1245,汽車/電動車/消費品,commute_mode,3,0,1,age|clothing_spend|education|family_income|housing_cost|income|occupation,NONE,NONE,NONE,NONE,age|occupation|income|family_income|education|commute_mode|housing_cost|clothing_spend|family_size,v5.7,relative-within-version
03_fashion,3. 時尚服裝設計師,200,85.293915,7419,81,10,False,4.5505,4.3404,時尚服飾/零售,,0,0,0,age|clothing_spend|family_income|income,NONE,NONE,NONE,NONE,age|income|clothing_spend|family_income|occupation|family_size,v5.7,relative-within-version
04_role_fangzhong,4. 房貸 — 房仲業者,200,277.349964,5749,13,5,False,6.0815,5.5235,房地產/金融,housing_cost,3,3,0,age|debt_status|family_income|family_size|housing_burden|income|marriage|occupation,NONE,NONE,無,NONE,age|occupation|income|marriage|family_size|family_income|housing_burden|housing_cost|debt_status,v5.7,relative-within-version
05_role_banker,5. 房貸 — 銀行業者,200,214.756443,5848,8,5,False,5.5738,5.3293,金融/房屋貸款/房地產,family_income,3,2,0,age|debt_status|housing_burden|housing_cost|income,NONE,NONE,有房貸|房貸+消費債,NONE,age|income|family_income|housing_burden|housing_cost|debt_status|occupation|family_size,v5.7,relative-within-version
06_aesthetic,6. 醫美診所,200,588.946032,8779,12,10,False,5.0093,3.3851,醫療美容／醫美療程消費,clothing_spend|family_income,3,2,0,aesthetic_procedure|age|income|sex,女,NONE,NONE,有,age|sex|income|family_income|clothing_spend|aesthetic_procedure|occupation|family_size,v5.7,relative-within-version
07_debt,7. 債務整合,200,198.500791,8660,16,10,False,4.7287,2.4829,金融服務/債務整合貸款,family_income,3,2,0,age|debt_status|housing_burden|income,NONE,NONE,有房貸|房貸+消費債,NONE,age|income|family_income|housing_burden|debt_status|occupation|family_size,v5.7,relative-within-version
08_boss,8. 小吃攤（顧客語意）,200,130.811961,7727,75,10,False,4.7325,4.1296,餐飲/夜市零售消費市場,,0,0,0,age|clothing_spend|commute_mode|family_income|family_size|housing_cost|income|occupation,NONE,NONE,NONE,NONE,age|occupation|income|family_size|family_income|clothing_spend|commute_mode|housing_cost,v5.7,relative-within-version
09_owner,9. ★業主本人（B2B）,200,42.540806,7425,61,10,False,1.7312,1.5633,B2B 市場研究 / 企業主招募,,0,0,0,age|employment_status,NONE,雇主|自營作業者,NONE,NONE,age|employment_status|income|occupation|family_income|family_size,v5.7,relative-within-version
