case,label,http,sec,bytes,total_matched,returned,pool_exhausted,top_score,lowest_score,domain,target_user,relaxed,loops,no_op,overshoot,applied_keys,debt_status_filter,employment_status_filter,aesthetic_procedure_filter,sex_filter,dims_counted,weight_version,score_scale
01_kangshimei,1. 康是美（藥妝零售）,200,89.491161,3186,44,3,False,5.0417,4.8307,零售/藥妝通路,19-44歲女性，學生、上班族與家管，具中等以上消費力，對美妝保養、開架藥品及生活用品有需求者,,0,0,0,age|clothing_spend|commute_mode|family_income|income|occupation|sex,NONE,NONE,NONE,女,age|occupation|sex|income|clothing_spend|family_income|commute_mode|family_size,v5.6,relative-within-version
02_tesla,2. TESLA,200,313.066712,3800,38,3,False,5.6092,5.2276,汽車/電動車消費,中高所得的專業人士，尤其科技、金融、醫療業，家庭可支配所得高，以汽車通勤，居住支出與消費水準中上，年齡約 25-54 歲,family_income|commute_mode,2,1,0,age|clothing_spend|income|occupation,NONE,NONE,NONE,NONE,age|occupation|income|clothing_spend|commute_mode|family_income|family_size,v5.6,relative-within-version
03_fashion,3. 時尚服裝設計師,200,108.773853,6265,28,10,False,5.2474,3.6805,時尚服裝產業,中高端時尚消費力強的女性白領、中高收入族群,,1,0,0,age|clothing_spend|family_income|hobby|income|sex,NONE,NONE,NONE,女,age|sex|income|clothing_spend|family_income|hobby|occupation|family_size,v5.6,relative-within-version
04_role_fangzhong,4. 房貸 — 房仲業者,200,134.139414,4168,30,5,False,4.9073,4.5749,房貸/房地產金融,30-45歲已婚、有小孩且家庭收入中高、居住負擔低、有首購或換屋需求者,,1,0,0,age|debt_status|family_income|family_size|housing_burden|income|marriage,無,NONE,NONE,NONE,age|income|marriage|family_size|family_income|housing_burden|debt_status|occupation,v5.6,relative-within-version
05_role_banker,5. 房貸 — 銀行業者,200,193.611563,5006,25,5,False,4.4629,4.4071,金融／房貸,已有房貸、年齡約40-55、居住負擔中高、個人及家庭收入>8萬、具穩定還款能力的房貸戶,family_income|age,3,1,0,debt_status|housing_burden|income,有房貸,NONE,NONE,NONE,age|income|family_income|housing_burden|debt_status|occupation|family_size,v5.6,relative-within-version
06_aesthetic,6. 醫美診所,200,240.210877,6898,16,10,False,3.9846,2.1576,醫美/醫療美容產業,醫美診所行銷主管，想找出潛在消費族群,occupation,3,0,0,aesthetic_procedure|age|income,NONE,NONE,有,NONE,age|occupation|income|aesthetic_procedure|family_income|family_size,v5.6,relative-within-version
07_debt,7. 債務整合,200,196.043193,6570,8,8,True,4.6499,2.3923,金融/銀行信貸,已有房貸、可能同時有信貸或卡債、想轉貸降息且收入穩定的中壯年族群,,3,2,0,age|debt_status|family_income|housing_burden|income,有房貸|房貸+消費債,NONE,NONE,NONE,age|income|family_income|housing_burden|debt_status|occupation|family_size,v5.6,relative-within-version
08_boss,8. 小吃攤（顧客語意）,200,258.200314,6150,185,10,False,3.7784,3.577,餐飲/零售消費行為與目標客群分析,夜市、小吃攤的潛在消費者,,0,0,0,age|commute_mode|family_income|income|marriage|occupation,NONE,NONE,NONE,NONE,age|occupation|income|marriage|family_income|commute_mode|family_size,v5.6,relative-within-version
09_owner,9. ★業主本人（B2B）,200,152.617413,6529,20,10,False,2.2958,2.1612,B2B 市場研究/問卷招募,企業主或工廠老闆本人,,3,1,0,age|employment_status|income,NONE,雇主,NONE,NONE,age|income|employment_status|occupation|family_income|family_size,v5.6,relative-within-version
