case,label,http,sec,bytes,total_matched,returned_field,len_summary,pool_exhausted,top_score,lowest_score,domain,relaxed,broaden_loops,no_op_loops,overshoot_loops,sex_filter,aesthetic_procedure_filter,debt_status_filter,employment_status_filter,income_filter,scoring_dims,weight_version,score_scale,score_schema,n_summary_fields
01_kangshimei,1. 康是美的目標客戶,200,125.447404,4025,13,3,3,False,5.0837,4.426,零售/藥妝/美妝通路,hobby|education,3,0,0,女,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,無收入|<3萬|3-8萬,age|occupation|sex|income|marriage|clothing_spend|commute_mode|family_income|hobby|education|family_size,v5.6,relative-within-version,1,17
02_tesla,2. TESLA的目標客戶,200,60.092852,3441,24,3,3,False,6.9883,6.7156,汽車/電動車消費,commute_mode,1,0,0,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,>8萬|3-8萬,age|occupation|income|clothing_spend|commute_mode|family_income|education|housing_burden|family_size,v5.6,relative-within-version,1,17
03_fashion,3. 時尚服裝設計師的目標客戶,200,68.862964,6520,21,10,10,False,5.2889,4.2178,時尚/服飾產業,family_income|education,2,0,0,女,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|sex|income|hobby|clothing_spend|family_income|region|education|occupation|family_size,v5.6,relative-within-version,1,17
04_role_fangzhong,4. 房貸優惠 — 房仲業者,200,138.871837,4777,11,5,5,False,2.5436,2.4416,房地產/金融（房貸）,income,3,2,0,NOT_APPLIED,NOT_APPLIED,無|有房貸,NOT_APPLIED,,age|income|marriage|family_size|family_income|housing_burden|debt_status|occupation,v5.6,relative-within-version,1,17
05_role_banker,5. 房貸優惠 — 銀行業者,200,72.051229,4709,11,5,5,False,6.5494,5.9312,金融/房貸/房地產,family_income|occupation,3,1,0,NOT_APPLIED,NOT_APPLIED,有房貸,NOT_APPLIED,3-8萬|>8萬,age|occupation|income|housing_burden|family_income|debt_status|family_size|housing_cost,v5.6,relative-within-version,1,17
06_aesthetic,6. 醫美診所的目標客戶,200,112.877060,6919,13,10,10,False,2.5979,1.8933,醫療美容/醫美診所,family_income|clothing_spend,3,1,0,NOT_APPLIED,有,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|family_income|clothing_spend|aesthetic_procedure|occupation|family_size,v5.6,relative-within-version,1,17
07_debt,7. 債務整合的目標客戶,200,103.334843,7458,14,10,10,False,4.6132,2.1651,金融服務／貸款（債務整合、房貸轉貸）,,3,1,0,NOT_APPLIED,NOT_APPLIED,有房貸|房貸+消費債,NOT_APPLIED,3-8萬|>8萬,age|income|family_income|housing_burden|debt_status|occupation|family_size,v5.6,relative-within-version,1,17
08_boss,8. 小吃攤老闆的目標客群,200,104.169398,6042,121,10,10,False,4.4815,4.1219,餐飲/夜市零售,,0,0,0,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,無收入|<3萬|3-8萬,age|occupation|income|clothing_spend|commute_mode|family_income|family_size,v5.6,relative-within-version,1,17
