case,A_matched,A_returned,A_ids,A_top,A_sec,A_pool_exhausted,B_matched,B_returned,B_ids,B_top,B_sec,B_pool_exhausted,C_matched,C_returned,C_ids,C_top,C_sec,C_pool_exhausted,D_matched,D_returned,D_ids,D_top,D_sec,D_pool_exhausted,E_matched,E_returned,E_ids,E_top,E_sec,E_pool_exhausted,F_matched,F_returned,F_ids,F_top,F_sec,F_pool_exhausted,D_ERROR
01_kangshimei,21,3,891 398 907,6.5499,185.387696,,62,3,178 768 171,5.2606,57.138543,,24,3,768 166 170,4.2838,92.911264,,99,3,768 183 171,4.2342,102.385232,False,13,3,768 166 878,5.0837,125.447404,False,27,3,768 878 166,4.9165,108.265699,False,
02_tesla,21,3,1000 804 364,7.7196,80.895049,,20,3,234 586 331,6.7397,176.33456,,34,3,234 341 475,5.5906,227.157881,,,,,,,,24,3,244 331 234,6.9883,60.092852,False,38,3,234 275 475,4.6161,82.159246,False,HTTP 503 FILTER_FAILED
03_fashion,118,10,244 480 286 891 213 288 337 770 797 252,7.4629,167.789869,,11,10,244 285 449 366 215 475 306 256 252 202,7.1747,201.170385,,22,10,946 304 586 593 484 215 275 521 618 803,4.8281,117.957897,,41,10,275 215 304 239 484 521 499 803 303 476,5.9276,223.262954,False,21,10,484 521 275 499 239 387 383 375 257 516,5.2889,68.862964,False,105,10,234 253 275 244 285 341 277 220 233 248,4.305,60.745846,False,
04_role_fangzhong,32,5,408 1004 237 277 997,5.7728,223.110889,,27,5,234 275 484 248 798,5.5692,244.832483,,18,5,275 248 370 795 901,4.8191,179.028736,,36,5,275 248 370 234 484,4.8557,232.051569,False,11,5,275 248 279 882 353,2.5436,138.871837,False,19,5,275 248 370 795 901,5.1854,174.018349,False,
05_role_banker,26,5,331 914 597 826 797,5.6547,199.115624,,9,5,473 331 811 929 328,4.1771,178.279272,,45,5,473 331 811 929 388,4.5545,133.092757,,9,5,328 234 388 774 473,5.9741,218.256676,False,11,5,331 811 929 473 388,6.5494,72.051229,False,36,5,341 475 473 304 388,4.0712,43.500723,False,
06_aesthetic,69,10,208 770 337 189 213 252 382 802 817 199,5.0374,84.500563,,11,10,473 513 891 361 247 238 350 512 372 280,5.6709,339.930785,,5,5,247 238 372 350 512,3.6899,295.864558,,13,10,473 513 891 361 247 280 238 350 512 372,4.6875,217.792252,False,13,10,891 247 280 238 473 350 512 372 361 513,2.5979,112.87706,False,5,5,247 238 372 350 512,3.5938,135.948847,True,
07_debt,20,10,337 1062 797 996 914 331 326 382 802 817,5.2411,124.956956,,23,10,473 234 331 811 929 328 388 774 276 209,4.3476,365.24441,,45,10,328 473 331 388 811 929 593 341 570 547,4.6016,96.071871,,25,10,328 234 473 388 331 811 929 774 276 1019,4.7287,220.144287,False,14,10,328 473 388 331 811 929 400 791 801 380,4.6132,103.334843,False,30,10,328 234 473 388 331 811 929 774 276 1019,4.676,163.492592,False,
08_boss,234,10,181 166 175 149 151 138 172 139 185 165,4.0163,87.191005,,25,10,166 184 177 762 764 179 135 875 167 193,5.6095,65.218362,,175,10,782 206 885 270 884 882 895 228 241 887,3.2645,117.678813,,85,10,165 977 762 764 882 270 228 241 887 288,3.7635,90.8371,False,121,10,142 157 145 149 763 174 182 184 165 166,4.4815,104.169398,False,168,10,762 764 142 174 157 145 149 135 184 763,3.4709,78.750742,False,
