case,label,http,sec,bytes,total_matched,returned,top_score,lowest_score,domain,rel_opmode,relaxed,broaden_loops,sex_filter,aesthetic_procedure_filter,debt_status_filter,employment_status_filter,income_filter,scoring_dims,n_summary_fields
01_kangshimei,1. 康是美的目標客戶,200,92.911264,3142,24,3,4.2838,4.0102,藥妝零售／美妝通路,僅篩選,hobby,1,女,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,無收入|<3萬|3-8萬,age|sex|occupation|income|clothing_spend|family_income|hobby|family_size,17
02_tesla,2. TESLA的目標客戶,200,227.157881,3096,34,3,5.5906,5.4318,電動車／汽車產業（新能源車消費）,僅篩選,,0,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|family_income|commute_mode|housing_burden|clothing_spend|occupation|family_size,17
03_fashion,3. 時尚服裝設計師的目標客戶,200,117.957897,6157,22,10,4.8281,4.4753,時尚服飾/消費市場,僅篩選,,2,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|family_income|clothing_spend|hobby|education|occupation|family_size,17
04_role_fangzhong,4. 房貸優惠 — 房仲業者,200,179.028736,4385,18,5,4.8191,4.5687,房產/房屋貸款金融,僅篩選,debt_status,3,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|marriage|family_income|family_size|housing_burden|debt_status|occupation,17
05_role_banker,5. 房貸優惠 — 銀行業者,200,133.092757,3980,45,5,4.5545,4.4985,金融/銀行/房貸,僅篩選,debt_status,1,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,>8萬,age|income|housing_burden|family_income|debt_status|occupation|family_size,17
06_aesthetic,6. 醫美診所的目標客戶,200,295.864558,4199,5,5,3.6899,3.4094,醫美/美容醫療服務,僅篩選,family_income,2,女,有,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|occupation|sex|income|family_income|clothing_spend|aesthetic_procedure|family_size,17
07_debt,7. 債務整合的目標客戶,200,96.071871,6380,45,10,4.6016,3.753,金融/銀行/貸款,僅篩選,debt_status,1,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,>8萬,age|income|family_income|housing_burden|debt_status|occupation|family_size,17
08_boss,8. 小吃攤老闆的目標客群,200,117.678813,5845,175,10,3.2645,3.0934,餐飲/夜市小吃/消費行為,僅篩選,,0,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,<3萬|3-8萬,age|income|clothing_spend|commute_mode|family_income|occupation|family_size,17
