case,A_matched,A_ids,A_top,A_sec,B_matched,B_ids,B_top,B_sec,C_matched,C_ids,C_top,C_sec
01_kangshimei,21,891 398 907,6.5499,185.387696,62,178 768 171,5.2606,57.138543,24,768 166 170,4.2838,92.911264
02_tesla,21,1000 804 364,7.7196,80.895049,20,234 586 331,6.7397,176.33456,34,234 341 475,5.5906,227.157881
03_fashion,118,244 480 286 891 213 288 337 770 797 252,7.4629,167.789869,11,244 285 449 366 215 475 306 256 252 202,7.1747,201.170385,22,946 304 586 593 484 215 275 521 618 803,4.8281,117.957897
04_role_fangzhong,32,408 1004 237 277 997,5.7728,223.110889,27,234 275 484 248 798,5.5692,244.832483,18,275 248 370 795 901,4.8191,179.028736
05_role_banker,26,331 914 597 826 797,5.6547,199.115624,9,473 331 811 929 328,4.1771,178.279272,45,473 331 811 929 388,4.5545,133.092757
06_aesthetic,69,208 770 337 189 213 252 382 802 817 199,5.0374,84.500563,11,473 513 891 361 247 238 350 512 372 280,5.6709,339.930785,5,247 238 372 350 512,3.6899,295.864558
07_debt,20,337 1062 797 996 914 331 326 382 802 817,5.2411,124.956956,23,473 234 331 811 929 328 388 774 276 209,4.3476,365.24441,45,328 473 331 388 811 929 593 341 570 547,4.6016,96.071871
08_boss,234,181 166 175 149 151 138 172 139 185 165,4.0163,87.191005,25,166 184 177 762 764 179 135 875 167 193,5.6095,65.218362,175,782 206 885 270 884 882 895 228 241 887,3.2645,117.678813
