case,label,http,sec,bytes,total_matched,returned_field,len_summary,pool_exhausted,top_score,lowest_score,domain,rel_opmode,relaxed,broaden_loops,no_op_loops,overshoot_loops,sex_filter,aesthetic_procedure_filter,debt_status_filter,employment_status_filter,income_filter,scoring_dims,weight_version,score_scale,n_summary_fields,error_code,error_message
01_kangshimei,1. 康是美的目標客戶,200,102.385232,3110,99,3,3,False,4.2342,4.16,藥妝零售/美妝通路,僅篩選,,0,0,0,女,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,無收入|<3萬|3-8萬,age|sex|income|family_income|clothing_spend|occupation|family_size,v5.4,relative-within-version,17,,
02_tesla,2. TESLA的目標客戶,503,260.590483,206,,,,,,,,,,,,,,,,,,,,,,FILTER_FAILED,無法從問題中解析出篩選條件（LLM 分析失敗且關鍵字解析無結果）
03_fashion,3. 時尚服裝設計師的目標客戶,200,223.262954,6431,41,10,10,False,5.9276,4.6897,時尚/服裝設計產業,僅篩選,family_income,1,0,1,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|clothing_spend|hobby|family_income|occupation|family_size,v5.4,relative-within-version,17,,
04_role_fangzhong,4. 房貸優惠 — 房仲業者,200,232.051569,4640,36,5,5,False,4.8557,4.5179,房產/住宅金融,僅篩選,,2,0,0,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|marriage|family_size|housing_burden|family_income|occupation,v5.4,relative-within-version,17,,
05_role_banker,5. 房貸優惠 — 銀行業者,200,218.256676,5052,9,5,5,False,5.9741,5.4997,金融/銀行業 - 房貸產品,僅篩選,age|income,3,1,0,NOT_APPLIED,NOT_APPLIED,有房貸|房貸+消費債,NOT_APPLIED,,age|income|family_income|housing_burden|debt_status|occupation|family_size|housing_cost,v5.4,relative-within-version,17,,
06_aesthetic,6. 醫美診所的目標客戶,200,217.792252,7019,13,10,10,False,4.6875,2.9057,醫美/醫療美容,僅篩選,family_income|clothing_spend,3,1,0,NOT_APPLIED,有,NOT_APPLIED,NOT_APPLIED,3-8萬|>8萬,age|income|clothing_spend|family_income|aesthetic_procedure|occupation|family_size,v5.4,relative-within-version,17,,
07_debt,7. 債務整合的目標客戶,200,220.144287,7079,25,10,10,False,4.7287,3.0577,金融/銀行貸款,僅篩選,family_income,3,1,0,NOT_APPLIED,NOT_APPLIED,有房貸|房貸+消費債,NOT_APPLIED,>8萬|3-8萬,age|income|family_income|housing_burden|debt_status|occupation|family_size,v5.4,relative-within-version,17,,
08_boss,8. 小吃攤老闆的目標客群,200,90.837100,5935,85,10,10,False,3.7635,3.1829,餐飲/夜市小吃消費,僅篩選,,0,0,0,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,NOT_APPLIED,<3萬|3-8萬,age|occupation|income|family_income|clothing_spend|commute_mode|family_size,v5.4,relative-within-version,17,,
