case,A_version,B_version,A_total_matched,B_total_matched,A_ids,B_ids,overlap,A_top_score,B_top_score,A_domain,B_domain,A_applied_filter_keys,B_applied_filter_keys,A_scoring_dims,B_scoring_dims,A_relaxed,B_relaxed,A_broaden_loops,B_broaden_loops,A_sec,B_sec
01_kangshimei,v4.9.2,v5.2,21,62,891 398 907,178 768 171,0,6.5499,5.2606,零售/美妝/藥妝,零售/藥妝/美妝,age|clothing_spend|commute_mode|education|family_income|income|occupation|sex,age|clothing_spend|family_income|income|occupation|sex,age|sex|occupation|income|family_income|clothing_spend|commute_mode|hobby|education,age|occupation|sex|income|clothing_spend|family_income,hobby,,3,0,185.387696,57.138543
02_tesla,v4.9.2,v5.2,21,20,1000 804 364,234 586 331,0,7.7196,6.7397,汽車/電動車,汽車/電動車產業,age|clothing_spend|commute_mode|education|family_income|family_size|housing_burden|income|occupation,age|clothing_spend|commute_mode|family_income|income|occupation,age|occupation|income|family_income|family_size|commute_mode|clothing_spend|education|housing_burden,age|occupation|income|family_income|commute_mode|clothing_spend,,,1,2,80.895049,176.334560
03_fashion,v4.9.2,v5.2,118,11,244 480 286 891 213 288 337 770 797 252,244 285 449 366 215 475 306 256 252 202,2,7.4629,7.1747,時尚/服飾設計與零售產業,時尚與服飾產業,age|clothing_spend|education|family_income|income|occupation,age|clothing_spend|commute_mode|education|family_income|family_size|income|occupation|region,age|occupation|income|clothing_spend|family_income|education|hobby,age|occupation|income|clothing_spend|family_income|commute_mode|region|education|family_size|hobby,hobby,hobby|aesthetic_procedure,3,3,167.789869,201.170385
04_role_fangzhong,v4.9.2,v5.2,32,27,408 1004 237 277 997,234 275 484 248 798,0,5.7728,5.5692,房地產金融,房地產/金融服務,age|family_income|family_size|housing_burden|income|marriage,age|debt_status|family_income|family_size|housing_burden|income|marriage|occupation,age|occupation|income|marriage|family_size|housing_burden|family_income,age|occupation|income|marriage|family_size|family_income|housing_burden,occupation,,3,3,223.110889,244.832483
05_role_banker,v4.9.2,v5.2,26,9,331 914 597 826 797,473 331 811 929 328,1,5.6547,4.1771,房貸/房地產金融,金融/房貸/房產,age|family_income|housing_burden|income|occupation,age|debt_status|family_income|housing_burden|income,age|occupation|income|marriage|housing_burden|family_income,age|income|housing_burden|family_income,marriage,,2,3,199.115624,178.279272
06_aesthetic,v4.9.2,v5.2,69,11,208 770 337 189 213 252 382 802 817 199,473 513 891 361 247 238 350 512 372 280,0,5.0374,5.6709,醫療美容/消費醫療,醫美/醫療美容,age|clothing_spend|family_income|income|occupation,aesthetic_procedure|age|clothing_spend|income|occupation|sex,age|occupation|income|clothing_spend|family_income,age|occupation|sex|income|clothing_spend|family_income,,family_income,0,3,84.500563,339.930785
07_debt,v4.9.2,v5.2,20,23,337 1062 797 996 914 331 326 382 802 817,473 234 331 811 929 328 388 774 276 209,1,5.2411,4.3476,金融/銀行貸款/債務整合,金融／銀行貸款,age|family_income|housing_burden|income|occupation,age|debt_status|housing_burden|income,age|occupation|income|housing_burden|family_income,age|income|family_income|housing_burden,,family_income,0,3,124.956956,365.244410
08_boss,v4.9.2,v5.2,234,25,181 166 175 149 151 138 172 139 185 165,166 184 177 762 764 179 135 875 167 193,1,4.0163,5.6095,餐飲/零售消費行為,餐飲/夜市商圈/市場研究,age|income|occupation,age|clothing_spend|commute_mode|family_income|hobby|income|marriage|occupation,age|occupation|income,age|occupation|income|marriage|clothing_spend|family_income|commute_mode|hobby,,,0,0,87.191005,65.218362
